idUnified,Li,Na,K,Mg,Ca,Cl,SO4,HCO3,Temperature
267,,105.7,3.74,0.047001,10.7,109.9,71.4,,109
268,,159,10.1,0.030001,8.37,152.2,58.2,,157
269,,387.5,19.6,0.072001,67.1,658.5,122.5,,126
270,,141.4,4.2,0.100001,23.7,139.5,144.9,,96
271,,61.9,2.14,0.056001,2.56,7.6,58,,72
272,,72.5,2.32,0.050001,1.62,25.6,45.9,,92
273,,43,0.82,0.100001,1.56,9.6,10.9,,79
274,,37,0.61,0.032001,2.39,9.6,8,,67
275,,51,1.46,0.064001,2.88,11.3,38.9,,97
276,,51.5,1.26,1.00E-06,2.36,18.8,34.3,,67
277,,47.4,0.55,0.049001,1.96,4.7,13.9,,67
278,,63.4,0.85,0.008001,4.92,42.2,47.5,,59
279,,244.2,27.6,0.660001,15.4,263.8,55.3,,173
280,,48.7,0.93,0.002001,3.24,10.6,53.5,,63
281,,58.6,2.12,0.060001,2.8,32.5,33,,109
282,,485.8,36.5,20.800001,79.9,69.5,43.1,,63
283,,8037,1245,1.620001,1343,17010,40.5,,242
284,,11150,1720,1.440001,1705,22835,28.4,,292
285,,109.7,5.54,0.055001,2.68,77.7,72.6,,133
286,,102.2,6.21,0.048001,1.28,41.6,70.7,,152
287,,153.3,13.4,0.002001,1.73,109.5,43.7,,181
288,,193.9,29,0.064001,2.54,28,194.5,,240
289,,193,36,0.067001,1.9,52,143,,340
290,,158.6,25.5,0.046001,2.81,16.3,42.2,,276
291,,154.8,24,0.085001,4.52,16.6,48.7,,246
292,,167,24.2,0.030001,1.9,8.4,49.6,,271
293,,187.5,22.4,0.030001,2.3,23.9,193,,210
294,,187.4,26.6,0.004001,0.5,21.1,102.7,,300
295,,370,86.4,4.700001,1.2,593,67.5,14.400001,300
296,,290,62,0.480001,0.41,463,82.5,42.900001,300
297,,19100,5340,9.800001,2310,38600,49.8,,300
298,,10100,2090,2.900001,1270,20700,22.5,,290
299,,13400,3120,2.600001,2500,27100,40.8,,280
300,,9100,1520,1.400001,1290,18400,31.4,,250
301,,13400,4130,2.100001,1500,27800,22.1,,320
302,,18100,5200,13.300001,2000,35600,36.5,,330
303,,15100,4850,14.000001,1490,31100,54.1,,330
304,,11500,2480,2.600001,1970,24100,28.2,,300
305,,4530,736,,308,8172,21,21.000001,232
306,,935,93,1.000001,5,89,621,2000.000001,205
307,,360,64.2,0.040001,3.09,464,108,360.000001,290
